"|aIn the penal colony /|cby Michael F. Murray |aMurray, Michael,|d1964-"
"|aSymphony no. 1 for band /|cby John Baur |aBaur, John William"
"|aAntiphonarium sanctæ romanae ecclesiæ :|bcontinens Domenicale, Feriale, & Festium; vedelicet Nativitatis Christi, & solemnitatum infra ejus octavam Epiphanæ, Resurrectionis, Ascensionis, Pentacosten, Trinitatis, et Corporis Domini |aCatholic Church |aAntiphonary (Ms. University of Cincinnati. Libraries)"
"|aConcerto for violin and orchestra /|cby James Hearon |aHearon, James"
"|aIf I could only live at the pitch that is near madness /|cby Raymond Eugene Fahrner |aFahrner, Raymond Eugene"
"|a2001 :|ba world symphony for small orchestra and electronics /|cby Carlos Fernandes |aFernandes, Carlos"
"|aAdivinanzas /|cby Alonzo Alexander III |aAlexander, Alonzo"
"|aGems :|bfor orchestra /|cby William Waite |aWaite, William"
"|aSymphonic fantasy on a theme by Willaert :|bfor full orchestra /|cby Chris Frye |aFrye, Chris |aSymphonic fantasy on a theme by Willaert"
"|aPipa dance (for pipa and orchestra) /|cby Ping Jin |aJin, Ping"
"|aAngelitos de papel :|bfor string quartet /|cby Gabriel R. Ottoson-Deal |aOttoson-Deal, Gabriel R"
"|aGarden in a labyrinth :|bfor piano and string orchestra /|cby Chee Kong Ho |aHo, Chee Kong"
"|aRomanza :|bfor trombone and string quartet /|cby Michael Runyan |aRunyan, Michael |aRomanza"
"|aThe concerto in D major (1800) and six voluntaries, Op. 6 by Samuel Wesley (1766-1837) in a performing edition with critical commentary,|cby James Ritter Werner |aWerner, James Ritter"
"|aGlossolalia :|bfor 6 narrators and 12 players /|cby Mark Saya |aSaya, Mark,|d1954-"
"|aFly homeward, Mercury! /|cEthan F. Wickham |aWickman, Ethan F"
"|aVicissitudes,|cby Eliot M. Newsome |aNewsome, Eliot M"
"|aThe musical climate in Nazi Germany during the pre-war years (1931-1938) and the impact of Wagnerian causal effects on it and on musical life in the Holocaust period /|cby Susan J. Eischeid |aEischeid, Susan J"
"|aChamber concerto 1980 :|bfor flute, oboe, violoncello, harpsichord, guitar, and two harps /|cby Daniel Gutwein |aGutwein, Daniel |aChamber concerto 1980"
"|aKilling the angel in the house /|cby Moiya Lynn Callahan |aCallahan, Moiya Lynn"
"|aA unified theory /|cby Mark Volker |aVolker, Mark"
"|aSongs of sorrow :|bfor soprano and string quartet.  Prologue; First Song of Shattering; Ashes of Life; Second Song of Shattering; Kin to Sorrow; Third Song of Shattering; Epilogu/|cby Rodney N. Abriol |aAbriol, Rodney N"
"|aNocturne /|cby Chyi-Huah Chow |aChow, Chyi-Huah |aNocturne,|morchestra"
"|aDihaguara /|cby Marianella Machado |aMachado, Marianella"
