field_content,count
ER-YBP-PAL,11
ER-O/L-CH-AAPO,100
ER-O/L-ABC-Clio,657
ER-O/L-Sage-eRef,118
ER-UAdelaide,3303
ER-OCLC-WCS-ACS,1222
ER-ASP-WASI,1057
ER-O/L-CH-EAS,145
ER-O/L-CH-20thAfAmP,113
ER-YBP-CAMB,65
ER-NCCO,50454
ER-YBP-DEGR,20
ER-MoA,7480
ER-YBP-SCIDIR,129
ER-O/L-SPRebk,35729
ER-O/L-SPRebk-OSU7,413
ER-O/L-SPRebk-OSU4,454
ER-O/L-SPRebk-OSU9,263
ER-ECCO2,47815
ER-DOAB,1226
ER-O/L-CH-18thCF,96
ER-O/L-YBPeDDA-inv,102
ER-OCLC-WCS-IEEE-Xplore,417
ER-O/L-SPRebk-OSU5,338
ER-CH-AWS,192
ER-EAI-1st,37370
ER-APA-PBK,4106
ER-O/L-OSO,7926
ER-YBP-EBSCO,1327
ER-O/L-SPRebk-OSU8,305
ER-O/L-SPRebk-OSU1,1077
ER-O/L-GVRL,122
ER-YBP-GALE,12
ER-NBER,21496
ER-O/L-SPRebk-OSU10,477
ER-Momentum,50
ER-ECCO,136277
ER-EAI-2nd,38093
ER-InfoSci,1763
ER-OCLC-WCS-Knovel,3163
ER-YBP-MUSE,43
ER-YBP-EBL,914
ER-YBP-WILEY,108
ER-OCLC-WCS-SDebk,1085
ER-LoebCL,220
ER-O/L-CH-20thAP,731
ER-O/L-CH-APD,1288
ER-O/L-SPRebk-OSU6,307
ER-O/L-CH-AmDr,706
ER-PQDT,9355
ER-O/L-CH-ENPRDR,1653
ER-OCLC-WCS-Referex,1804
ER-ASP-GLTC,118
ER-O/L-SPRebk-GAP2011ou,3989
ER-O/L-CH-EAF,565
ER-MOMW,58710
ER-Emrld-BME,729
ER-O/L-ACLS,4098
ER-O/L-CH-ENVEDR,2283
ER-CH-EEBO,94072
ER-ASP-WASS,1167
ER-O/L-SPRebk-OSU11,239
ER-O/L-CH-Yeats,21
ER-O/L-CH-ENPO,4469
ER-MOML,21791
ER-CREDOREF,827
ER-CRCnetBASE MRTS,9372
ER-OCLC-WCS-ClinKey,1207
ER-O/L-OR,35
ER-HeinOnline,1482
ER-WestlawNext,72
ER-GSL,300
ER-O/L-Safari,26639
ER-IET,356
ER-O/L-Wiley-InterSci,3950
ER-YBP-EBR,10563
ER-O/L-SPRebk-OSU2,470
ER-YBP-DDAinv,1129
ER-O/L-YBPeappr,562
ER-BWI-EBK,23
ER-SPIE-eBook,167
ER-O/L-SPRebk-OSU3,335
ER-MOMW-2,4710
ER-CH-LION,16131
ER-O/L-CH-20thEP,585
ER-O/L-EBC,1
ER-Sabin-Amer,44361
ER-YBP-DDA-disc,9720
ER-O/L-SPRebk-GAP2010ou,2242
ER-O/L-NetLibrary,11927
ER-OECD-iLibrary-Bks,12394
