"deduptitle"
"|aHome alone :|bthe impact of maternal employment on delinquency /|cby Thomas M. Vander Ven |aVander Ven, Thomas M"
"|aGas chromatographic determination of candidate coatings for chemical microsensors /|cby Mary Lynn Woebkenberg |aWoebkenberg, Mary Lynn"
"|aSynthesis and characterization of silicon-containing monomers, polymers and copolymers /|cby Mark E. Van Dyke |aVan Dyke, Mark E"
"|aOptimization and application of the reduced Navier-Stokes methodology to numerical simulation of viscous flows and flow stability /|cby Philip E. Morgan |aMorgan, Philip E"
"|aA preliminary examiniation of intervention-based elibibility for preschoolers with suspected disabilities /|cby Christine Gilkey |aGilkey, Christine"
"|aFlavin sensitized photochemistry of dihydrodioxins /|cby Johannes M. Heckmann |aHeckmann, Johannes M"
"|aDevelopment of spectroelectrochemical waveguide sensors /|cby Susan E. Ross |aRoss, Susan E"
"|aDemographic and clinical predictors of intellectual ability in disability applicants /|cby Carolyn Wells |aWells, Carolyn"
"|aThe role of pancreatic phospholipase A₂ in dietary cholesterol absorption /|cby Bonnie L. Baque-Richmond |aBaque-Richmond, Bonnie L"
"|aAn examination of four song cycles for solo voice and wind ensemble by twentieth-century composers Bernard Gilmore, William Penn, John Heins, and John Stamp /|cby Daniel L. Schmidt |aSchmidt, Daniel L"
"|aReading paired with algebra :|bthe utilization of activities and assignments by college developmental studies /|cby Barbara L. Loebach |aLoebach, Barbara L"
"|aThe investigation of pharmacokinetic differences due to physical conditioning in male human subjects /|cby Angela M. Maddux |aMaddux, Angela M"
"|aDevelopment of a spectroelectrochemical sensor for ferrocyanide /|cby Mila Maizels |aMaizels, Mila"
"|aMechanisms underlying suppression of T-cell apoptosis by prolactin /|cby Nithya Krishnan |aKrishnan, Nithya"
"|aThe contribution of neuropsychological assessment to the prediction of rehabilitation outcome /|cby Eileen M. Huha |aHuha, Eileen M"
"|aLa conception de la guerre dans les romans de Chretien de Troyes /|cby James Brunson-McCloud |aBrunson-McCloud, James"
"|aA numerical study of strongly correlated electron systems /|cby Alireza Niki Tahvildarzadeh |aTahvildarzadeh, Alireza Niki"
"|aThe portrayal of women in social studies and history textbooks used in Botswana /|cby Bontshetse-Mosadimotho Mazile |aMazile, Bontshetse-Mosadimotho"
"|aStolen vision /|cby Gary Leising |aLeising, Gary"
"|aTalestri, Regina Delle Amazzoni :|ban opera seria by Maria Antonia Walpurgis /|cby Jill Munroe Fankhauser |aFankhauser, Jill,|d1943-"
"|aInvestigation of aerosol formation and sulfur speciation in subsonic jet aircraft engines /|cby Susan Kaye Durlak |aDurlak, Susan Kaye"
"|aCharacterization of changes occurring in natural organic matter during the composting of a synthetic compost and a municipal solid waste /|cby William R. Fromme |aFromme, William R"
"|aThe neuropsychological functioning of Bipolar Disorder during mania and relationship to demographic and disease variables /|cby Christine A. Duis |aDuis, Christine A"
"|aRedefining parental involvement in a diverse society :|ba sociocultural perspective of African American families and how it affects their children's social and academic success /|cby Ernescia Marie Torbert |aTorbert, Ernescia Marie"
"|aOn sampling from a many-to-many frame /|cby Ian Clough |aClough, Ian"
"|aA conductor's study of musical motion and sources of invention in selected choral works by John Tavener /|cby Sue T. Klausmeyer |aKlausmeyer, Sue T"
"|aUnveiling Die Schöne Magelone :|ba study of Johannes Brahms's Romanzen aus Magelone Opus 33 /|cby Stafford Turner |aTurner, Stafford"
"|aUnion Terminal :|bbusinessmen, railroads and city planning in Cincinnati, 1869-1933 /|cby Barbara Hahn |aHahn, Barbara"
"|aReading and rereading the thirties :|bhistorical and social contexts and the literary receptions of Pearl S. Buck, Margaret Mitchell, and Zora Neale Hurston /|cby Stephen Spencer |aSpencer, Stephen"
"|aInactivation of the mouse guanylin gene and its regulation during osmotic stress /|cby Kris A. Steinbrecher |aSteinbrecher, Kris A"
"|aThe natural horn in the orchestra :|bcompositions combining horns in different keys : a history /|cby Douglas Lundeen |aLundeen, Douglas"
"|aThe contemporary African-American female Bildungsroman /|cby Wendy Alexia Rountree |aRountree, Wendy Alexia"
"|aThree operatic madmen in twentieth-century opera :|ba comparison and analysis of Wozzeck, Peter Grimes, and The Rake's Progress /|cby Peter N. Freisinger |aFreisinger, Peter N."
"|aWomen in science :|bwhat keeps them interested? /|cby Teresa Lynn Orloff |aOrloff, Teresa Lynn"
"|aThe transformation of Caribbean dances in selected piano works of Louis Moreau Gottschalk /|cby Shao-Shan Chen |aChen, Shao-Shan"
"|aEndocrine disruption related to fuel exposure amongst women in the military and racial differences in endocrine levels /|cby Susan Sipson Reutman |aReutman, Susan Simpson"
"|aCirculation and diffusion of knowledge and the dynamics of innovation generation /|cby Detelina Marinova |aMarinova, Detelina"
"|aMusic and memoir :|bLibby Larsen's settings of first-person texts by women.  ""Me (Brenda Ueland)""; ""Songs from Letters:  Calamity Jane to Her Daughter Janey""; ""Try Me, Good King:  Last Words of the Wives of Henry VIII""/|cby Tina M. Milhorn |aMilhorn, Tina M"
"|aAlgorithms for design space exploration and high-level synthesis for multi-FPGA reconfigurable computers|h[electronic resource] /|cby Sriram Govindarajan |aGovindarajan, Sriram"
"|aDesign and analysis of robust fault diagnosis schemes for nonlinear multivariable systems /|cby Alexander B. Trunov |aTrunov, Alexander B"
"|aPTCR effect of Ba-excess barium titanate ceramics /|cby Gaosheng Liu |aLiu, Gaosheng"
"|aBalancing the lopsided singer :|bapplying Michael Chekhov's physical imagination exercises toward training the opera singer /|cby Craig A. Priebe |aPriebe, Craig A"
"|aAn examination of the relationship between social bonding and school effectiveness as perceived by secondary students /|cby Gary A. Leibold |aLeibold, Gary A"
"|aChlorine transport and decay studies of a pilot-scale drinking water distribution dead end pipe system /|cby Sylvana Y. Li |aLi, Sylvana Y"
"|aHeat transfer to a particle from a thermal plasma /|cby Montasir Ahmad Hader |aHader, Montasir Ahmad"
"|aTransformational and transactional leadership in division administration at three institutions of higher education :|ban application of the Bass & Avolio Multifactor Leadership Questionnaire /|cby Ronald L. Jackson, Sr |aJackson, Ronald L, Sr"
"|aHardiness, one of several personality constructs thought to affect health /|cby Linda A. Stokes-Crowe |aStokes-Crowe, Linda A"
"|aAcceptability of collaborative problem solving to elementary and secondary teacher interns /|cby Jennifer Karen Ostrom |aOstrom, Jennifer Karen"
"|aThe songs of Walter Rabl /|cby Melissa Malde |aMalde, Melissa"
"|aThe role of ataxia telangiectasia-mutated and Nijmegen breakage syndrome protein-1 in the accumlation of UVC-induced DNA replication-dependent double strand breaks /|cby Brian R. Johnson |aJohnson, Brian R"
"|aGerman Jews in the United States :|ba guide to archival collections /|cCornelia Wilhelm |aWilhelm, Cornelia,|d1964-"
"|aHow a school superintendent learns on the job /|cby Carroll Eugene Roberts |aRoberts, Carroll Eugene"
"|aA study of the instrumentation and the effect of formulation and process variables on granule and tablet characteristics of a low dose drug in a high shear mixer /|cby Withoon Kornchankul |aKornchankul, Withoon"
"|aStatistical modeling and optimization of blends of methacrylic acid ester copolymers for controlled release tablet coating /|cby Hatim Samir AlKhatib |aAlKhatib, Hatim Samir"
"|aCytokine regulation of aquaporin 5 mediated lung fluid homeostasis /|cby Jennifer E. Towne |aTowne, Jennifer E"
"|aThe response of O(¹S) and OH emission brightness to gravity wave perturbations /|cby Zhiling Zhao |aZhao, Zhiling"
"|aRegulation of tyrosine hydroxylase gene expression /|cby Sandra L. Kroll |aKroll, Sandra L"
"|aAdolph Kullak's Die Ästhetik des Klavierspiels and the emergence of modern piano technique by the late nineteenth century /|cby Andrew Peter Millar |aMillar, Andrew Peter"
"|aDirect numerical simulation of transitions toward turbulence in complex channel flows /|cby Bradley D. Duncan |aDuncan, Bradley D"
"|aPartitioning for FPGA-based reconfigurable computers /|cby Vinoo N. Srinivasan |aSrinivasan, Vinoo N"
"|aBayesian estimation and prediction under a bounded asymmetric BLINEX loss function /|cby Daling Wen |aWen, Daling"
"|aThe fusion of the traditional and the contemporary :|bthe survival of traditional form within a modern musical language in the piano music of José Luis Turina /|cby Chiun-Fan Chang |aChang, Chiun-Fan"
"|aRedox potential (ORP) regulation of nutrient removal in wastewater treatment processes and the structure-function analysis of activated sludge floc /|cby Baikun Li |aLi, Baikun"
"|aElephant alphabet /|ccompiled & illustrated by Maryline Poole Adams |aAdams, Maryline Poole"
"|aImproved methods for robust stability analysis of nonlinear hydraulic control systems :|ba bifurcation-based procedure /|cby Gregory G. Kremer |aKremer, Gregory G"
"|aA voice of insurgency /|cby Maeve Cavanagh |aCavanagh, Maeve"
"|aThe history, use, and influence of cor mixte /|cby Margaret Ann Robinson |aRobinson, Margaret Ann"
"|aThymidylate analogs :|bprobing DNA bending, triplex DNA, and EcoRI-DNA complex /|cby Ying Cao Matties |aMatties, Ying Cao"
"|aEffects of cholesterol supplementation on cholesterol synthesis rates in infants /|cby Mahmood Mohammed Alasmi |aAlasmi, Mahmood Mohammed"
"|aPlasma enhanced chemical vapor deposition of functional coatings using metal-organic compounds /|cby Feng Li |aLi, Feng"
"|aJacob Godfrey Schmidlapp papers,|f1895-1919 |aSchmidlapp, Jacob Godfrey,|d1849-1919"
"|aEffect of pretreatments on the corrosion performance by plasma-polymer coatings on cold-rolled steel /|cby Kirk D. Conners |aConners, Kirk D"
