"|aSecondary electron emission levels for A1, V, Fe, SS, Nb, and Mo under high energy proton, deuteron, and triton bombardment /|cby Thomas Alan Thornton |aThornton, Thomas Alan"
"|aAuger electron and x-ray photoelectron spectroscopic investigation of encapsulated annealing of III-V compound semiconductors /|cby George John Valco |aValco, George John"
"|aA study of Middle Ordovician K-bentonites in Kentucky and southern Ohio,|cby Warren D. Huff |aHuff, Warren David"
"|aTowards an Islamic economic system /|cby Abdelhafid Belarbi |aBelarbi, Abdelhafid"
"|aThe biosynthesis and role of ubiquinone in Leishmania tropica promastigotes /|cby Gouri Ranganathan |aRanganathan, Gouri"
"|aAn investigation of the photooxidation of menaquinones and menaquinone chromenols /|cby Thomas F. Walsh |aWalsh, Thomas F"
"|aA critique of the theory of consumer behavior,|cby Glenn Ewing Burress |aBurress, Glenn Ewing"
"|aControl mechanisms in fetal microvasculature,|cby Paul Alvan Fehn |aFehn, Paul Alvan"
"|aWalls of the classroom, windows onto the world :|ba study of home/school relationships in an urban-Appalachian middle school /|cby Lynda Hunter Jackson |aJackson, Lynda Hunter"
"|aSSB-48, a novel single-stranded DNA-binding protein from which the Novikoff hepatoma which stimulates DNA polymerase beta /|cby T. J. Koerner |aKoerner, T. J"
"|aThe effect of occupational exposure and the body weight to height ratio on exhaled methylene chloride breath concentration in females at one, eighteen and sixty-six hours post exposure /|cby Phillip G. Brown |aBrown, Phillip G"
"|aPreferences of high and low ability students for reading group placements /|cby Barbara Scott DeSalvo |aDeSalvo, Barbara Scott"
"|aThe development and implementation of an interdisciplinary system paradigm for improving intergroup relations in secondary schools /|cby Dean W. Moore |aMoore, Dean W"
"|aAndré Jolivet :|bEpithalame /|cby Nancy L. Menk |aMenk, Nancy L.|q(Nancy Lee)"
"|aDemographic and clinical predictors of intellectual ability in disability applicants /|cby Carolyn Wells |aWells, Carolyn"
"|aThe role of pancreatic phospholipase A? in dietary cholesterol absorption /|cby Bonnie L. Baque-Richmond |aBaque-Richmond, Bonnie L"
"|aGoing private :|bfinancial issues /|cby Nancy Mohan |aMohan, Nancy"
"|aThe challenge to the accounting profession in a developing country :|bthe Nigeria case /|cby Pender Okpako Gbenedio |aGbenedio, Pender Okpako"
"|aThe effect of withdrawal from cigarette smoking on the pharmacokinetics of theophylline and pentazocine /|cby Michael Alex Eldon |aEldon, Michael Alex"
"|aOn the stability of the critical cases in the problems of Lurie and Letov,|cby Kenneth R. Meyer |aMeyer, Kenneth R"
"|aThe employment of non-standard English in the development of a mathematics course for seventh-grade disadvantaged students /|cby James Clayton Gussett |aGussett, James Clayton"
"|aLinear system model reduction via normalized coprime factor representations /|cby Xiaobo Liu |aLiu, Xiaobo"
"|aRotation and preferential geometry in phenyl-substituted cyclopropanes and oxiranes,|cby Adam S. Kurasiewicz |aKurasiewicz, Adam S"
"|aThe psychoeducational effects of sickle cell anemia :|banalysis of school success-nonsuccess in a group of children with sickle cell anemia /|cby Patrick L. Allen |aAllen, Patrick L"
"|aCardiovascular adjustments to diving in three mutant strains of otolith defective mice /|cby Terry Michael Rauch |aRauch, Terry Michael"
