|aJournal of applied physics
|aOhio archæological and historical quarterly
|aPädagogische Monatshefte =|bPedagogical monthly /|cOrgan des Nationalen Deutschamerikanischen Lehrerbundes
|aThe Pennsylvania magazine of history and biography
|aProceedings of the American Antiquarian Society |aAmerican Antiquarian Society
|aJournal of algorithms
|aBusiness and society review
|aHarper's monthly magazine
|aComputers & fluids
|aThe Journal of the Anthropological Institute of Great Britain and Ireland |aAnthropological Institute of Great Britain and Ireland
|aBulletin /|cCincinnati Historical Society |aBulletin (Cincinnati Historical Society)
|aClassical and quantum gravity
|aShakespeare studies
"|aMonatshefte |aMonatshefte (Madison, Wis. : 1946)"
|aUniversity of Cincinnati news record
|aThe city bulletin;|bofficial publication of the city of Cincinnati |aCincinnati (Ohio).|bCity Council
|aThe Reading teacher
|aJournal of urban history
|aProceedings of ... Winter Simulation Converence [i.e. Conference] /|csponsored by AIIE [et al.] |aWinter Simulation Conference
"|aPartisan review |aPartisan review (New York, N.Y. : 1936)"
|aBulletin /|cHistorical and Philosophical Society of Ohio |aBulletin (Historical and Philosophical Society of Ohio : 1953)
"|aThe Gentleman's magazine, or, Monthly intelligencer"
|aThe Transactions of the Royal Irish Academy |aRoyal Irish Academy
|aSIAM journal on applied mathematics
|aInternational directory of Aegean prehistorians
|aSouthern economic journal
|aWomen in German yearbook
"|aTransactions of the Anthropological Society of Washington |aAnthropological Society of Washington (Washington, D.C.)"
|aThe journal of the Ethnological Society of London |aJournal of the Ethnological Society of London (1869)
|aAnnalen der Physik |aAnnalen der Physik (1900)
|aThe Cincinnatian |aUniversity of Cincinnati
|aThe New England quarterly
"|aThe News record |aNews record (Cincinnati, Ohio)"
|aTransactions of the Ethnological Society of London |aEthnological Society of London
|aMonatshefte für deutsche Sprache und Pädagogik /|cOrgan des Nationalen Deutschamerikanischen Lehrerbundes
"|aAmerican library directory;|ba classified list of libraries in the United States and Canada, with personnel and statistical data"
|aFocus on Literatur :|ba journal for German-language literature
|aFrench historical studies
|aThe Irish penny journal
|aWestern humanities review
|aThe American archivist
|aHarper's new monthly magazine
|aJournal of American folklore
|aProceedings of the American Philosophical Society
|aVirology
|aCincinnati romance review
|aHandbook /|cThe Center for Research Libraries |aCenter for Research Libraries (U.S.)
"|aThe Gentleman's magazine |aGentleman's magazine (London, England : 1736)"
|aThe Scottish geographical magazine
|aFocus on German studies
|aJournal of the Ethnological Society of London |aEthnological Society of London
|aProceedings of the Biological Society of Washington
|aQueen City heritage
|aJournal of membrane science
"|aCooperative engineer,|cUniversity of Cincinnati"
|aThe Cincinnati Historical Society bulletin
|aThe Arizona quarterly
|aLadies' home journal.
|aHarper's magazine
"|aBradley, his book"
|aBook history
"|aThe Steuben news |aSteuben news (Ridgewood, N.Y.)"
|aThe North American review
|aAcademe
"|aMechanical engineering :|bthe journal of the American Society of Mechanical Engineers |aMechanical engineering (New York, N.Y. : 1919)"
|aThe Hudson review
